1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25
26 27 28 29 30
31 32 33 34 35
36 37 38 39 40
41 42 43 44 45
46 47 48 49 50
51 52 53 54 55
56 57 58 59 60
61 62 63 64 65
66 67 68 69 70
71 72 73 74 75
76 77 78 79 80
81 82 83 84 85
86 87 88 89 90
91 92 93 94 95
96 97 98 99 100
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
-5 -4.795918 -4.591837 -4.387755 -4.183673
-3.979592 -3.77551 -3.571429 -3.367347 -3.163265
-2.959184 -2.755102 -2.55102 -2.346939 -2.142857
-1.938776 -1.734694 -1.530612 -1.326531 -1.122449
-0.9183673 -0.7142857 -0.5102041 -0.3061224 -0.1020408
0.1020408 0.3061224 0.5102041 0.7142857 0.9183673
1.122449 1.326531 1.530612 1.734694 1.938776
2.142857 2.346939 2.55102 2.755102 2.959184
3.163265 3.367347 3.571429 3.77551 3.979592
4.183673 4.387755 4.591837 4.795918 5
-5 -4.795918 -4.591837 -4.387755 -4.183673
-3.979592 -3.77551 -3.571429 -3.367347 -3.163265
-2.959184 -2.755102 -2.55102 -2.346939 -2.142857
-1.938776 -1.734694 -1.530612 -1.326531 -1.122449
-0.9183673 -0.7142857 -0.5102041 -0.3061224 -0.1020408
0.1020408 0.3061224 0.5102041 0.7142857 0.9183673
1.122449 1.326531 1.530612 1.734694 1.938776
2.142857 2.346939 2.55102 2.755102 2.959184
3.163265 3.367347 3.571429 3.77551 3.979592
4.183673 4.387755 4.591837 4.795918 5
-2.419233 -7.838599 0.7534106 2.18168 -0.6191815
-7.919492 -4.091974 1.442479 -3.270101 2.942179
-6.420474 -2.218541 -9.338877 -2.634099 4.431632
0.9395821 0.1637678 -6.903016 0.1735192 0.314256
-1.236659 6.499383 2.678345 -1.90319 -2.185546
-0.3004792 4.180659 4.565107 3.971412 2.9589
-3.04123 -3.669399 0.4340761 4.2308 -0.09682124
-1.836445 1.911681 10.30897 4.315445 4.264086
-2.530584 3.274251 2.463209 10.47004 6.479372
12.73159 7.351048 7.473625 -0.6490594 4.583542
7.101314 7.712346 6.260448 10.45038 4.19496
12.16321 5.623029 4.07333 7.909484 3.002509
-3.589669 7.693731 11.97162 1.07134 1.40976
2.113356 5.197105 -0.9768304 2.211198 -3.118836
7.043129 -2.585178 2.813604 3.702582 -10.13384
8.002288 -2.278479 4.018121 -3.93449 0.3228827
-4.070388 0.3511737 -3.8267 -3.153714 4.150833
2.35511 3.826851 -4.868551 -6.812277 -1.78811
-4.804511 -4.426886 -2.013773 -4.427649 -4.753198
-4.926684 -0.2043527 -8.9851 -3.926997 -3.453307
