LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,MarginPrice,WinBit,uidentifier
1931625,guaranteedrate,compass,0,7,416500,416500,7.875,singlefamily,secondhome,1,conf,purchase,full,du,788,70,70,1,0,az,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,low,0,0,1,security,fglmc,cap,fgf30s,newprod,7,0.25,0.135,0,0,100.806422,-1.625,0.000122,320,0,0,0,0,0,0,0.0056,11,4.305,2.805,2.74,4.24,34.83,20000,0,-0.3241,-0.039578,0,1
1931626,guaranteedrate,compass,0,7,116000,116000,7.05,condo,primaryresidence,1,conf,purchase,full,du,784,80,80,1,0,wi,other,other,fixed,360,fnmafixed30homeready,0,0,0,1,1,moderate,middle,low,0,0,1,security,fglmc,buydn,fgf30s,bal 125k,6.5,0.25,0,0,0.19,101.36976,0,1.3125,320,0,1,0,0,0,0,0.013,6,5.332,4.582,3.77,5.07,30.41,4784.6,0,-0.3241,-0.03024,0,1
1931627,guaranteedrate,compass,0,7,441350,441350,7.675,condo,primaryresidence,1,conf,purchase,full,lp,716,97,97,1,0,il,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,buydn,fgf30s,ltv  95,7,0.25,0,0,0.065,100.400101,-1.625,0.003125,320,0,0,0,0,0,0,0,4,5.379,3.714,2.96,4.46,42.22,13688.32,0,-0.3241,0.010101,0,1
1931628,guaranteedrate,compass,0,7,423000,423000,7.625,singlefamily,primaryresidence,1,conf,purchase,full,du,706,90,90,1,0,il,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,0,0,1,security,fglmc,buyup,fgf30s,newprod,6.5,0.25,0.25,0.135,0,100.455111,-1.25,0.000122,320,0,0,0,0,0,0,0.1844,5,4.81,3.072,2.96,4.46,42.65,16666.67,0,-0.3241,0.000111,0,1
1931629,guaranteedrate,compass,0,7,222000,222000,7.5,unit2to4,investment,2,conf,purchase,full,du,782,75,75,1,0,il,other,other,fixed,360,fnmafixed30,0,0,0,0,1,upper,moderate,upper middle,0,0,1,security,fglmc,buyup,fgf30s,bal 225k,6.5,0.25,0.25,0.01,0,100.054517,-2.5,0.5,320,0,0,0,0,0,0,0.0071,36,6.236,4.543,3.1,4.6,23.32,13052.29,0,-0.3241,-0.060483,0,1
1931630,guaranteedrate,compass,0,7,533500,533500,7.5,singlefamily,primaryresidence,1,conf,purchase,full,du,744,97,97,1,0,ma,other,other,fixed,360,fnmafixed30,1,0,0,0,0,middle,middle,lower middle,1,1,1,security,fnma,buyup,fnf30s,ltv  95,6.5,0.25,0.03,0.25,0,101.328409,0,0.003125,320,0,0,0,0,0,0,0.7778,5,4.879,3.506,3.521,4.901,49.63,9701.75,0,-0.3241,0.030409,0,1
1931631,guaranteedrate,compass,0,7,143262,143262,7.125,singlefamily,investment,1,conf,purchase,full,du,729,58.892,58.892,1,0,ok,other,other,fixed,360,fnmafixed30,0,0,0,0,0,middle,high,lower middle,0,0,1,security,fglmc,buydn,fgf30s,bal 150k,6.5,0.25,0,0,0.115,100.203571,-1.125,1.03125,320,0,0,0,0,0,0,0.0481,11,6.3,5.079,3.74,5.14,42.9,6506.59,0,-0.3241,0.079571,0,1
1931632,guaranteedrate,compass,0,7,623265,623265,6.625,singlefamily,primaryresidence,1,conf,purchase,full,du,782,95,95,1,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,upper middle,0,0,1,security,fglmc,buydn,fgf30s,tx,6,0.25,0,0,0.115,97.968286,-0.25,0.003906,320,0,0,0,0,0,0,0.0927,5,6.719,4.664,4.27,5.47,47.09,11772,0,-0.3241,0.220286,0,1
1931633,guaranteedrate,compass,0,7,649000,649000,6.125,singlefamily,investment,1,conf,purchase,full,lp,804,68.388,68.388,1,0,de,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,high,very low,0,0,1,security,fglmc,buydn,fgf30s,newprod,5.5,0.25,0,0,0.115,93.988937,-1.625,0.000122,320,0,0,0,0,0,0,0,25,6.359,4.751,4.91,6.11,18.47,48295.55,0,-0.3241,0.089937,0,1
1931634,guaranteedrate,compass,0,7,292000,292000,7.5,singlefamily,investment,1,conf,purchase,full,du,797,40.839,40.839,1,0,fl,other,other,fixed,360,fnmafixed30,0,0,0,0,0,middle,middle,low,0,0,1,security,fglmc,buyup,fgf30s,nonowner,6.5,0.25,0.25,0.01,0,101.108707,-1.125,0.15625,320,0,0,0,0,0,0,0.0091,71,6.731,4.128,3.1,4.6,45.37,7553.86,0,-0.3241,0.000594,0,1
1931635,guaranteedrate,compass,0,7,513275,513275,7.25,singlefamily,primaryresidence,1,conf,purchase,full,lp,777,95,95,1,0,mn,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,very low,0,0,1,security,fglmc,cap,fgf30s,ltv  95,6.5,0.25,0.01,0,0,100.188138,-0.5,0.003125,320,0,0,0,0,0,0,0,4,5.315,3.778,3.38,4.78,33.47,14493.3,0,-0.3241,0.000138,0,1
1931636,guaranteedrate,compass,0,7,285000,285000,7.875,singlefamily,secondhome,1,conf,purchase,full,du,812,75,75,1,0,fl,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,cap,fgf30s,fl,7,0.25,0.135,0,0,100.676735,-2.125,0.003125,320,0,0,0,0,0,0,0.0059,12,5.343,3.606,2.74,4.24,25.22,24503.55,0,-0.3241,-0.110265,0,1
1931637,guaranteedrate,compass,0,7,569390,569390,7.85,singlefamily,primaryresidence,1,conf,purchase,full,lp,766,97,97,1,0,va,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,high,lower middle,0,1,1,security,fglmc,cap,fgf30s,ltv  95,7,0.25,0.11,0,0,102.633268,0,0.003125,320,0,0,0,0,0,0,0,4,5.016,3.596,2.82,4.32,43.22,14386.59,0,-0.3241,0.010268,0,1
1931638,guaranteedrate,compass,0,7,90000,90000,7.3,singlefamily,investment,1,conf,purchase,full,lp,746,75,75,1,0,oh,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,low,0,0,1,security,fglmc,cap,fgf30s,bal 110k,6.5,0.25,0.06,0,0,99.843605,-2.5,1.59375,320,0,0,0,0,0,0,0,7,4.632,4.538,3.38,4.78,41.83,7736.06,0,-0.3241,-0.280395,0,1
