LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice
1973731,rogerrabbit,mct,0,7,699000,699000,7,singlefamily,primaryresidence,1,va,refi,full,du,807,76.393,76.393,1,0,tx,nocashout,irrrl,fixed,360,irrrlfixed30,0,0,0,0,0,upper,high,lower middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0.25,0,0,102.62206,0,0.03125,320,0,0,0,0,0,0,0,2,6.645,3.4,0,0,41.1,25000,0,-0.1873
1973880,rogerrabbit,mct,0,7,180000,180000,4.75,singlefamily,primaryresidence,1,conf,refi,full,du,804,36.364,36.364,1,0,nm,cashout,other,fixed,180,fnmafixed15,0,0,0,0,0,upper,high,upper middle,0,0,0,security,fglmc,cap,fgf15s,newprod,4,0.25,0.155,0,0,96.166257,-0.375,0.001953,320,0,0,0,0,0,0,0.0056,170,5.362,4.26,3.985,5.385,21.7,12500.8,0,-0.1873
1973881,onetrust,mct,0,7,615200,615200,7.25,pud,secondhome,1,conf,purchase,full,du,767,80,80,1,0,sc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,0,0,0,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.01,0,0,97.690789,-4,0.000122,320,0,0,0,0,0,0,0.013,98,5.016,3.376,3.035,4.435,35.1,32792.74,0,-0.1873
1973882,onetrust,mct,0,7,544000,544000,6.25,singlefamily,primaryresidence,1,conf,purchase,full,du,806,80,80,1,0,sd,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,middle,very low,0,0,0,security,fglmc,cap,fgf30s,newprod,5.5,0.25,0.01,0,0,97.632476,-0.375,0.000122,320,0,0,0,0,0,0,0.007,101,5.855,4.269,4.469,5.669,32.9,12500,0,-0.1873
1973887,harsh,mct,0,7,399200,399200,6.875,singlefamily,primaryresidence,1,conf,purchase,full,du,770,80,80,1,0,nm,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,upper middle,0,0,0,security,fglmc,cap,fgf30s,newprod,6,0.25,0.135,0,0,100.05611,-0.625,0.001953,320,0,0,0,0,0,0,0.0723,105,5.407,4.086,3.601,4.801,46.3,10633.33,0,-0.1873
1973888,onetrust,mct,0,7,228900,228900,7,singlefamily,secondhome,1,conf,purchase,full,du,764,78.931,78.931,0,0,nm,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,0,security,fglmc,buyup,fgf30s,bal 250k,6,0.25,0.25,0.01,0,97.569422,-4,0.4375,320,0,0,0,0,0,0,0.116,105,4.85,4.442,3.442,4.742,50,8618.5,0,-0.1873
1973897,onetrust,mct,0,7,744600,744600,7.25,pud,primaryresidence,1,conf,purchase,full,du,694,85,85,1,0,ca,other,other,fixed,360,fnmafixed30highbal,0,1,1,0,0,upper,high,upper middle,1,0,0,security,fnma,buyup,fnf30s,hb,6.5,0.25,0,0.03,0,98.5865,-2.875,-0.00125,320,0,0,0,0,0,0,0.4163,126,4.592,3.148,2.892,4.172,49.9,17500.02,0,-0.1873
1973898,onetrust,mct,0,7,261609,261609,6.625,singlefamily,primaryresidence,1,conf,purchase,full,lp,736,97,102.562,1,0,ga,other,other,fixed,360,fhlmcfixed30homepossible,1,0,0,1,1,moderate,moderate,lower middle,0,1,0,security,fglmc,buydn,fgf30s,bal 275k,6,0.25,0,0,0.115,99.947738,0,0.25,320,0,1,0,1,0,1,0,91,6.104,5.091,3.959,5.159,46,4903.24,0,-0.1873
1973903,onetrust,mct,0,7,268000,268000,7,pud,secondhome,1,conf,purchase,full,du,753,80,80,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,upper middle,0,0,0,security,fglmc,buyup,fgf30s,bal 275k,6,0.25,0.25,0.01,0,97.29544,-4.25,0.25,320,0,0,0,0,0,0,0.0174,126,5.654,4.295,3.442,4.742,36.6,11752.63,0,-0.1873
1973904,onetrust,mct,0,7,553964,553964,5.75,pud,primaryresidence,1,conf,purchase,full,du,764,80,80,1,0,fl,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,middle,lower middle,0,0,0,security,fglmc,cap,fgf30s,fl,5,0.25,0.01,0,0,95.206565,-0.625,0.003125,320,0,0,0,0,0,0,0.1346,95,6.694,4.922,5.019,6.219,50,10806.67,0,-0.1873
1973905,onetrust,mct,0,7,346750,346750,7,pud,primaryresidence,1,conf,purchase,full,du,705,95,95,1,0,ga,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,middle,upper middle,1,0,0,security,fnma,buyup,fnf30s,ltv  95,6,0.25,0.03,0.25,0,99.873309,-1.125,0.003125,320,0,0,0,0,0,0,0.5992,107,5.373,4.074,3.706,5.156,46.6,8340.33,0,-0.1873
1973913,onetrust,mct,0,7,412000,412000,7,condo,secondhome,1,conf,purchase,full,du,783,80,80,1,0,sc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,very low,0,0,0,security,fglmc,buyup,fgf30s,newprod,6,0.25,0.25,0.01,0,96.59904,-4.5,0.001953,320,0,0,0,0,0,0,0.008,113,5.32,3.843,3.442,4.742,38,24741.67,0,-0.1873
1973914,onetrust,mct,0,7,232000,232000,7.25,pud,investment,1,conf,purchase,full,du,773,80,80,1,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,0,0,0,security,fglmc,cap,fgf30s,bal 250k,6.5,0.25,0.01,0,0,98.517193,-4,0.5,320,0,0,0,0,0,0,0.0083,91,6.264,4.618,3.035,4.435,24.7,24786.1,0,-0.1873
1973915,onetrust,mct,0,7,248000,248000,6.375,pud,primaryresidence,1,conf,purchase,full,du,799,80,80,0,0,tx,other,other,fixed,360,fnmafixed30,1,0,0,0,0,middle,middle,upper middle,0,0,0,security,fglmc,cap,fgf30s,bal 250k,5.5,0.25,0.135,0,0,99.112171,0,0.21875,320,0,0,0,1,0,0,0.0071,91,5.309,5.054,4.319,5.519,31.6,7772.18,0,-0.1873
1973917,onetrust,mct,0,7,504900,504900,5.625,singlefamily,primaryresidence,1,conf,purchase,full,du,776,85,85,1,0,id,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,middle,low,0,0,0,security,fglmc,buydn,fgf30s,newprod,5,0.25,0,0,0.115,94.223928,-0.625,0.000122,320,0,0,0,0,0,0,0.01,161,5.916,4.909,5.129,6.329,34.7,18821.34,0,-0.1873
1973918,onetrust,mct,0,7,212000,212000,7.25,condo,investment,1,conf,purchase,full,du,795,80,80,1,0,id,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,lower middle,0,0,0,security,fglmc,cap,fgf30s,bal 225k,6.5,0.25,0.01,0,0,97.925103,-4.5,0.75,320,0,0,0,0,0,0,0.0069,120,4.919,4.172,3.035,4.435,41.2,12554.58,0,-0.1873
1973921,onetrust,mct,0,7,271200,271200,7.25,singlefamily,investment,1,conf,purchase,full,du,700,80,80,1,0,tn,other,other,fixed,360,fnmafixed30,0,0,0,0,1,moderate,middle,lower middle,0,0,0,security,fglmc,cap,fgf30s,bal 275k,6.5,0.25,0.01,0,0,97.302947,-4.75,0.375,320,0,0,0,0,0,0,0.112,116,4.952,3.817,3.035,4.435,14.6,3359.13,0,-0.1873
1973927,onetrust,mct,0,7,560000,560000,5.5,pud,primaryresidence,1,conf,purchase,full,du,733,80,80,1,1,ok,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,0,security,fglmc,buyup,fgf30s,newprod,4.5,0.25,0.25,0.01,0,93.100297,-1.25,0.000122,320,0,0,0,0,0,0,0.0334,161,6.746,5.001,5.109,6.309,32.1,20083.34,0,-0.1873
1973928,onetrust,mct,0,7,275833,275833,5.5,pud,primaryresidence,1,conf,purchase,full,du,704,80,80,1,0,ok,other,other,fixed,360,fnmafixed30,1,0,0,0,0,middle,high,lower middle,0,0,0,security,fglmc,buyup,fgf30s,newprod,4.5,0.25,0.25,0.01,0,92.986315,-1.375,0.000122,320,0,0,0,0,0,0,0.0966,172,6.522,5.271,5.109,6.309,37.3,7011.53,0,-0.1873
1973929,onetrust,mct,0,7,125550,125550,7.25,singlefamily,secondhome,1,conf,purchase,full,du,733,90,90,1,0,ok,other,other,fixed,360,fnmafixed30,1,0,0,0,1,upper,low,upper middle,0,0,0,security,fglmc,cap,fgf30s,bal 150k,6.5,0.25,0.01,0,0,97.942218,-5.125,1.5,320,0,0,0,0,0,0,0.0608,170,4.481,4.333,3.035,4.435,36,14364.29,0,-0.1873
1973932,onetrust,mct,0,7,683050,683050,6.5,pud,primaryresidence,1,conf,purchase,full,du,757,95,95,1,0,az,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,0,0,0,security,fnma,buyup,fnf30s,ltv  95,5.5,0.25,0.03,0.25,0,98.176772,-0.625,0.078125,320,0,0,0,0,0,0,0.0227,101,4.98,3.561,4.146,5.776,26.8,20833.33,0,-0.1873
1973940,onetrust,mct,0,7,275000,275000,5.75,singlefamily,primaryresidence,1,conf,purchase,full,du,765,56.701,56.701,1,0,ma,other,other,fixed,360,fnmafixed30,0,0,0,0,1,low,middle,low,0,0,0,security,fglmc,cap,fgf30s,newprod,5,0.25,0.01,0,0,95.633133,0,0.000122,320,1,1,0,0,0,0,0.0537,109,5.913,4.791,5.019,6.219,48.4,4470.85,0,-0.1873
1973946,onetrust,mct,0,7,134000,134000,5.875,singlefamily,primaryresidence,1,conf,purchase,full,du,789,58.286,58.286,1,0,tx,other,other,fixed,360,fnmafixed30homeready,0,0,0,1,1,low,moderate,upper middle,0,0,0,security,fglmc,buydn,fgf30s,bal 150k,5.5,0.25,0,0,0.365,97.402652,0,0.9375,320,1,1,0,1,0,1,0.0148,91,7.345,5.907,4.909,6.109,44.7,2746,0,-0.1873
